카테고리,단어,뜻,예문,해석,학습 상태
중급 필수 영단어,diverse,[형용사] 다양한,New York is a culturally diverse city.,뉴욕은 문화적으로 다양한 도시이다.,미학습
중급 필수 영단어,guarantee,"[동사] 보장하다, [명사] 보증",The new computer comes with a two-year guarantee.,새 컴퓨터는 2년 보증과 함께 제공된다.,미학습
고급 필수 영단어,advocate,"[동사] 지지하다, [명사] 옹호자",She advocates for equal rights in the workplace.,그녀는 직장 내 평등한 권리를 옹호한다.,미학습
고급 필수 영단어,collaborate,[동사] 협력하다,Researchers from different fields collaborated on this project.,서로 다른 분야의 연구원들이 이 프로젝트를 위해 협력했다.,미학습
고급 필수 영단어,deviate,"[동사] 벗어나다, 일탈하다",The aircraft did not deviate from its planned flight path.,그 항공기는 계획된 비행 경로를 벗어나지 않았다.,미학습
고급 필수 영단어,eloquent,"[형용사] 유창한, 설득력 있는",The president delivered an eloquent speech on unity.,대통령은 화합에 대해 설득력 있는 연설을 했다.,미학습
고급 필수 영단어,innovative,[형용사] 혁신적인,The company is famous for its innovative product designs.,그 회사는 혁신적인 제품 디자인으로 유명하다.,미학습
고급 필수 영단어,perpetual,"[형용사] 영속하는, 끊임없는",They lived in a state of perpetual fear during the war.,그들은 전쟁 중에 끊임없는 공포 속에서 살았다.,미학습
고급 필수 영단어,vulnerable,[형용사] 취약한,The elderly are particularly vulnerable to extreme cold.,고령자들은 특히 극심한 추위에 취약하다.,미학습
고급 필수 영단어,unprecedented,[형용사] 전례 없는,The project was executed with unprecedented speed.,그 프로젝트는 전례 없는 속도로 실행되었다.,미학습
고급 필수 영단어,aesthetic,"[형용사] 미적인, 심미적인",The building design focuses on both utility and aesthetic appeal.,건물 디자인은 실용성과 미적 매력 모두에 초점을 맞추고 있다.,미학습
고급 필수 영단어,benevolent,"[형용사] 자비로운, 자선적인",A benevolent donor gifted a large sum of money to the school.,한 자비로운 기부자가 학교에 거액의 돈을 기부했다.,미학습
고급 필수 영단어,capricious,[형용사] 변덕스러운,The administration is struggling with capricious regulatory changes.,행정부는 변덕스러운 규제 변화에 어려움을 겪고 있다.,미학습
고급 필수 영단어,scrutinize,[동사] 정밀 조사하다,Tax auditors plan to scrutinize the corporate ledger closely.,세무 감사관들은 기업 장부를 자세히 조사할 계획이다.,미학습
여행 영어,boarding pass,[명사] 탑승권,Please show your boarding pass at the gate.,게이트에서 탑승권을 보여주세요.,미학습
여행 영어,itinerary,[명사] 여행 일정표,Could you send me the detailed travel itinerary?,상세한 여행 일정표를 저에게 보내주실 수 있나요?,미학습
여행 영어,reservation,[명사] 예약,I have a reservation under the name of Smith.,스미스라는 이름으로 예약이 되어 있습니다.,미학습
여행 영어,baggage claim,[명사] 수하물 수취소,Follow the signs to the baggage claim area.,표지판을 따라 수하물 수취 구역으로 가십시오.,미학습
여행 영어,customs,[명사] 세관,You must declare luxury goods at customs.,세관에서 사치품을 신고해야 합니다.,미학습
여행 영어,destination,[명사] 목적지,Paris is our final destination on this trip.,파리는 이번 여행에서 우리의 최종 목적지이다.,미학습
여행 영어,delayed,[형용사] 지연된,Our flight was delayed by two hours.,우리 비행기가 2시간 지연되었다.,미학습
여행 영어,accommodation,[명사] 숙박 시설,We need to book accommodation for our summer vacation.,우리는 여름 휴가를 위해 숙소를 예약해야 한다.,미학습
여행 영어,souvenir,[명사] 기념품,I bought a small model Eiffel Tower as a souvenir.,나는 기념품으로 작은 에펠탑 모형을 샀다.,미학습
여행 영어,currency exchange,[명사] 환전소,Where is the nearest currency exchange office?,가장 가까운 환전소가 어디인가요?,미학습
여행 영어,shuttle bus,[명사] 셔틀버스,The hotel offers a free shuttle bus service to the airport.,호텔은 공항까지 무료 셔틀버스 서비스를 제공한다.,미학습
여행 영어,travel insurance,[명사] 여행자 보험,It is highly recommended to buy travel insurance before leaving.,출발하기 전에 여행자 보험에 가입하는 것이 적극 권장된다.,미학습
토익 950+ 목표,expedite,[동사] 신속히 처리하다,We must streamline the logistics workflow to expedite the delivery.,배송을 신속히 처리하기 위해 물류 업무 흐름을 간소화해야 한다.,미학습
토익 950+ 목표,alleviate,"[동사] 경감하다, 완화하다",The company designed a new support program to alleviate work stress.,회사는 업무 스트레스를 완화하기 위해 새로운 지원 프로그램을 기획했다.,미학습
토익 950+ 목표,relinquish,"[동사] 포기하다, 넘겨주다",He chose to relinquish his voting rights as a major shareholder.,그는 대주주로서의 의결권을 포기하기로 선택했다.,미학습
기타,note,"[명사] 메모, [동사] 주의하다",Please note that the library will close early today.,오늘 도서관이 일찍 닫는다는 점을 유의해 주세요.,미학습
기타,test,"[명사] 시험, [동사] 테스트하다",The scientists will test the new drug on volunteers.,과학자들은 자원봉사자들을 대상으로 신약을 테스트할 것이다.,미학습
기타,record,"[명사] 기록, [동사] 녹음하다",Please keep a record of all your business expenses.,모든 사업 지출 내역을 기록해 두십시오.,미학습
기타,update,"[명사] 업데이트, [동사] 최신화하다",You need to update your software to the latest version.,소프트웨어를 최신 버전으로 업데이트해야 합니다.,미학습
기타,verify,"[동사] 확인하다, 입증하다",We must verify the customer's identity before processing.,우리는 처리 전에 고객의 신원을 확인해야 합니다.,미학습
기타,collect,"[동사] 수집하다, 모으다",The charity collects donations for the homeless.,그 자선단체는 노숙자들을 위해 기부금을 모은다.,미학습
기타,organize,"[동사] 조직하다, 정돈하다",She helped organize the annual charity event.,그녀는 연례 자선 행사를 조직하는 것을 도왔다.,미학습
기타,search,"[명사] 검색, [동사] 찾다",You can search for information on the internet.,인터넷에서 상세 정보를 검색할 수 있습니다.,미학습
초등 영어,apple,[명사] 사과,I ate a red apple after lunch.,나는 점심 후에 빨간 사과를 먹었다.,미학습
초등 영어,chair,[명사] 의자,Please sit on the chair.,의자에 앉아 주세요.,미학습
초등 영어,pencil,[명사] 연필,She writes her name with a pencil.,그녀는 연필로 자기 이름을 쓴다.,미학습
초등 영어,window,[명사] 창문,"Open the window, please.",창문을 열어 주세요.,미학습
초등 영어,garden,[명사] 정원,My grandmother grows flowers in the garden.,우리 할머니는 정원에서 꽃을 기르신다.,미학습
초등 영어,animal,[명사] 동물,A rabbit is a small animal.,토끼는 작은 동물이다.,미학습
초등 영어,breakfast,[명사] 아침 식사,We have breakfast at seven.,우리는 7시에 아침을 먹는다.,미학습
초등 영어,river,[명사] 강,The river is very long.,그 강은 매우 길다.,미학습
초등 영어,family,[명사] 가족,My family likes to eat together.,우리 가족은 함께 식사하는 것을 좋아한다.,미학습
초등 영어,picture,"[명사] 그림, 사진",Draw a picture of your house.,네 집 그림을 그려라.,미학습
초등 영어,playground,"[명사] 운동장, 놀이터",The children run in the playground.,아이들이 놀이터에서 뛰어논다.,암기 완료
초등 영어,hungry,[형용사] 배고픈,I am hungry after school.,나는 방과 후에 배가 고프다.,미학습
초등 영어,happy,"[형용사] 행복한, 기쁜",He looks happy today.,그는 오늘 행복해 보인다.,미학습
초등 영어,rainy,[형용사] 비가 오는,It is a rainy day.,비 오는 날이다.,미학습
초등 영어,clean,[형용사/동사] 깨끗한; 청소하다,Keep your desk clean.,네 책상을 깨끗하게 유지해라.,암기 완료
초등 영어,small,[형용사] 작은,This box is small.,이 상자는 작다.,미학습
초등 영어,jump,[동사] 뛰다,Can you jump high?,너는 높이 뛸 수 있니?,미학습
초등 영어,listen,[동사] 듣다,Listen to the teacher carefully.,선생님 말씀을 주의 깊게 들어라.,미학습
초등 영어,share,"[동사] 나누다, 공유하다",Share your snacks with your friend.,친구와 간식을 나누어라.,암기 완료
초등 영어,tomorrow,[부사/명사] 내일,We will meet tomorrow.,우리는 내일 만날 것이다.,미학습
중고등 영어,confidence,[명사] 자신감,Practice gave her confidence before the exam.,연습은 시험 전에 그녀에게 자신감을 주었다.,미학습
중고등 영어,environment,[명사] 환경,We should protect the environment.,우리는 환경을 보호해야 한다.,미학습
중고등 영어,responsibility,[명사] 책임,Taking care of the pet is your responsibility.,애완동물을 돌보는 것은 네 책임이다.,미학습
중고등 영어,communicate,[동사] 의사소통하다,Good friends communicate honestly.,좋은 친구들은 솔직하게 의사소통한다.,미학습
중고등 영어,develop,"[동사] 발달하다, 개발하다",Scientists develop new medicines.,과학자들은 새로운 약을 개발한다.,미학습
중고등 영어,discover,[동사] 발견하다,They discovered a cave near the beach.,그들은 해변 근처에서 동굴을 발견했다.,미학습
중고등 영어,imagine,[동사] 상상하다,Imagine a world without electricity.,전기가 없는 세상을 상상해 보라.,미학습
중고등 영어,compare,[동사] 비교하다,Compare the two answers carefully.,두 답을 주의 깊게 비교해라.,미학습
중고등 영어,describe,"[동사] 묘사하다, 설명하다",Can you describe the person you saw?,네가 본 사람을 묘사할 수 있니?,미학습
중고등 영어,prepare,[동사] 준비하다,We need to prepare for the presentation.,우리는 발표를 준비해야 한다.,미학습
중고등 영어,consider,[동사] 고려하다,Consider your choices before you decide.,결정하기 전에 선택지를 고려해라.,미학습
중고등 영어,achieve,[동사] 성취하다,She worked hard to achieve her goal.,그녀는 목표를 이루기 위해 열심히 노력했다.,미학습
중고등 영어,support,[동사/명사] 지지하다; 지원,His parents support his dream.,그의 부모님은 그의 꿈을 지지한다.,미학습
중고등 영어,knowledge,[명사] 지식,Books help us gain knowledge.,책은 우리가 지식을 얻도록 돕는다.,미학습
중고등 영어,culture,[명사] 문화,Food is an important part of culture.,음식은 문화의 중요한 부분이다.,미학습
중고등 영어,benefit,[명사/동사] 이익; 이롭게 하다,Exercise has many health benefits.,운동은 건강상 이점이 많다.,학습 중
중고등 영어,decision,[명사] 결정,It was a difficult decision for the team.,그것은 팀에게 어려운 결정이었다.,미학습
대학 영어,framework,"[명사] 틀, 체계",The theory provides a useful framework for analysis.,그 이론은 분석을 위한 유용한 틀을 제공한다.,미학습
대학 영어,perspective,[명사] 관점,This issue can be viewed from a historical perspective.,이 문제는 역사적 관점에서 볼 수 있다.,미학습
대학 영어,implication,"[명사] 함의, 영향",The findings have important implications for education.,그 결과는 교육에 중요한 함의를 가진다.,미학습
대학 영어,synthesis,[명사] 종합,The final essay requires a synthesis of several sources.,최종 에세이는 여러 자료의 종합을 요구한다.,미학습
대학 영어,conceptual,[형용사] 개념적인,The course begins with a conceptual overview.,그 강의는 개념적 개요로 시작한다.,미학습
대학 영어,qualitative,[형용사] 질적인,The researchers conducted qualitative interviews.,연구자들은 질적 인터뷰를 진행했다.,미학습
대학 영어,quantitative,"[형용사] 양적인, 정량적인",Quantitative data were collected through surveys.,정량적 자료는 설문을 통해 수집되었다.,미학습
대학 영어,discourse,"[명사] 담론, 논의",The article analyzes public discourse on climate policy.,그 글은 기후 정책에 관한 공적 담론을 분석한다.,미학습
대학 영어,validity,[명사] 타당성,The validity of the experiment was questioned.,실험의 타당성이 의문시되었다.,미학습
대학 영어,criterion,[명사] 기준,Accuracy is the main criterion for evaluation.,정확성은 평가의 주요 기준이다.,미학습
대학 영어,interpret,[동사] 해석하다,Students learn to interpret statistical results.,학생들은 통계 결과를 해석하는 법을 배운다.,미학습
대학 영어,assess,[동사] 평가하다,The professor will assess each project.,교수는 각 프로젝트를 평가할 것이다.,미학습
대학 영어,derive,"[동사] 얻다, 도출하다",The formula can be derived from basic principles.,그 공식은 기본 원리에서 도출될 수 있다.,미학습
대학 영어,correlate,[동사] 상관관계가 있다,Sleep quality may correlate with academic performance.,수면의 질은 학업 성과와 상관관계가 있을 수 있다.,미학습
기초 필수 영단어,accept,[동사] 받아들이다,Please accept my apology.,제 사과를 받아 주세요.,미학습
기초 필수 영단어,borrow,[동사] 빌리다,May I borrow your notebook?,네 공책을 빌려도 될까?,미학습
기초 필수 영단어,choose,[동사] 선택하다,Choose the answer that fits best.,가장 잘 맞는 답을 선택해라.,미학습
기초 필수 영단어,close,[동사/형용사] 닫다; 가까운,Close the door quietly.,문을 조용히 닫아라.,미학습
기초 필수 영단어,count,[동사] 세다,Count the coins on the table.,탁자 위의 동전을 세어라.,미학습
기초 필수 영단어,create,"[동사] 만들다, 창조하다",The students create a short video.,학생들은 짧은 영상을 만든다.,미학습
기초 필수 영단어,decide,[동사] 결정하다,We must decide by Friday.,우리는 금요일까지 결정해야 한다.,미학습
기초 필수 영단어,explain,[동사] 설명하다,Can you explain the rule again?,규칙을 다시 설명해 줄 수 있니?,미학습
기초 필수 영단어,invite,[동사] 초대하다,I will invite Amy to the party.,나는 에이미를 파티에 초대할 것이다.,미학습
기초 필수 영단어,learn,[동사] 배우다,Children learn quickly through play.,아이들은 놀이를 통해 빠르게 배운다.,미학습
기초 필수 영단어,mean,[동사] 의미하다,What does this word mean?,이 단어는 무슨 뜻이니?,미학습
기초 필수 영단어,need,[동사/명사] 필요하다; 필요,You need a ticket to enter.,입장하려면 표가 필요하다.,미학습
기초 필수 영단어,promise,[동사/명사] 약속하다; 약속,He promised to call me later.,그는 나중에 전화하겠다고 약속했다.,미학습
기초 필수 영단어,save,"[동사] 저장하다, 절약하다, 구하다",Save your work before you leave.,나가기 전에 작업을 저장해라.,미학습
기초 필수 영단어,spend,"[동사] 쓰다, 보내다",They spend time with their grandparents.,그들은 조부모님과 시간을 보낸다.,미학습
기초 필수 영단어,wait,[동사] 기다리다,Wait here for five minutes.,여기서 5분 기다려라.,미학습
기초 필수 영단어,worry,[동사/명사] 걱정하다; 걱정,Do not worry about the mistake.,그 실수에 대해 걱정하지 마라.,미학습
중급 필수 영단어,adapt,"[동사] 적응하다, 맞추다",New employees must adapt to the company culture.,신입 직원들은 회사 문화에 적응해야 한다.,미학습
중급 필수 영단어,balance,[명사/동사] 균형; 균형을 맞추다,It is hard to balance work and study.,일과 공부의 균형을 맞추기는 어렵다.,미학습
중급 필수 영단어,clarify,[동사] 명확히 하다,The teacher clarified the assignment.,선생님은 과제를 명확히 설명했다.,미학습
중급 필수 영단어,concentrate,[동사] 집중하다,Turn off your phone and concentrate on the task.,휴대전화를 끄고 과제에 집중해라.,미학습
중급 필수 영단어,contribute,[동사] 기여하다,Everyone can contribute to the project.,모두가 프로젝트에 기여할 수 있다.,미학습
중급 필수 영단어,convince,"[동사] 확신시키다, 설득하다",The evidence convinced the audience.,그 증거는 청중을 설득했다.,미학습
중급 필수 영단어,efficient,[형용사] 효율적인,This is a more efficient way to solve the problem.,이것은 문제를 해결하는 더 효율적인 방법이다.,미학습
중급 필수 영단어,establish,"[동사] 설립하다, 확립하다",The company was established in 1998.,그 회사는 1998년에 설립되었다.,미학습
중급 필수 영단어,flexible,[형용사] 유연한,A flexible schedule helps working parents.,유연한 일정은 일하는 부모에게 도움이 된다.,미학습
중급 필수 영단어,generate,"[동사] 발생시키다, 만들어 내다",The campaign generated a lot of interest.,그 캠페인은 많은 관심을 불러일으켰다.,미학습
중급 필수 영단어,influence,[명사/동사] 영향; 영향을 미치다,Social media can influence public opinion.,소셜 미디어는 여론에 영향을 미칠 수 있다.,미학습
중급 필수 영단어,maintain,[동사] 유지하다,Regular exercise helps maintain good health.,규칙적인 운동은 건강 유지에 도움이 된다.,미학습
중급 필수 영단어,negotiate,[동사] 협상하다,The two sides agreed to negotiate.,양측은 협상하기로 동의했다.,미학습
중급 필수 영단어,organize,"[동사] 정리하다, 조직하다",Please organize the files by date.,파일을 날짜별로 정리해 주세요.,미학습
중급 필수 영단어,recognize,"[동사] 알아보다, 인정하다",I recognized her voice immediately.,나는 즉시 그녀의 목소리를 알아차렸다.,미학습
중급 필수 영단어,reflect,"[동사] 반영하다, 숙고하다",The results reflect recent changes in society.,그 결과는 사회의 최근 변화를 반영한다.,미학습
중급 필수 영단어,require,"[동사] 요구하다, 필요로 하다",The job requires strong communication skills.,그 일은 뛰어난 의사소통 능력을 요구한다.,미학습
중급 필수 영단어,solution,[명사] 해결책,We need a practical solution.,우리는 실용적인 해결책이 필요하다.,미학습
고급 필수 영단어,altruism,[명사] 이타주의,Altruism often motivates volunteer work.,이타주의는 종종 봉사 활동의 동기가 된다.,미학습
고급 필수 영단어,anomaly,"[명사] 이례적인 것, 변칙",The data showed an unexpected anomaly.,그 데이터는 예상치 못한 변칙을 보였다.,미학습
고급 필수 영단어,articulate,[동사/형용사] 분명히 표현하다; 명료한,She can articulate complex ideas clearly.,그녀는 복잡한 생각을 명확히 표현할 수 있다.,미학습
